Tarih,Sezon,Lig,Ev Sahibi,Deplasman,MS Skor,IY Skor,MS Sonucu,Toplam Gol,KG Var
2022-08-31,2022,Ekstraklasa,Lechia Gdansk,Lech Poznan,0 - 3,0 - 2,2,3,Yok
2022-09-02,2022,Ekstraklasa,Legia Warszawa,Radomiak Radom,1 - 0,0 - 0,1,1,Yok
2022-09-03,2022,Ekstraklasa,Stal Mielec,Slask Wroclaw,2 - 0,1 - 0,1,2,Yok
2022-09-03,2022,Ekstraklasa,Lechia Gdansk,Warta Poznań,0 - 0,0 - 0,X,0,Yok
2022-09-03,2022,Ekstraklasa,Cracovia Krakow,Raków Częstochowa,3 - 0,2 - 0,1,3,Yok
2022-09-04,2022,Ekstraklasa,Zaglebie Lubin,Jagiellonia,1 - 1,0 - 0,X,2,Evet
2022-09-04,2022,Ekstraklasa,Korona Kielce,Pogon Szczecin,1 - 2,0 - 2,2,3,Evet
2022-09-04,2022,Ekstraklasa,Lech Poznan,Widzew Łódź,2 - 0,0 - 0,1,2,Yok
2022-09-05,2022,Ekstraklasa,Piast Gliwice,Miedz Legnica,2 - 1,1 - 1,1,3,Evet
2022-09-05,2022,Ekstraklasa,Wisla Plock,Gornik Zabrze,1 - 1,1 - 0,X,2,Evet
2022-09-09,2022,Ekstraklasa,Warta Poznań,Zaglebie Lubin,2 - 2,1 - 1,X,4,Evet
2022-09-09,2022,Ekstraklasa,Widzew Łódź,Cracovia Krakow,2 - 0,1 - 0,1,2,Yok
2022-09-10,2022,Ekstraklasa,Slask Wroclaw,Lechia Gdansk,2 - 1,0 - 1,1,3,Evet
2022-09-10,2022,Ekstraklasa,Radomiak Radom,Wisla Plock,2 - 0,1 - 0,1,2,Yok
2022-09-10,2022,Ekstraklasa,Gornik Zabrze,Piast Gliwice,3 - 3,2 - 2,X,6,Evet
2022-09-11,2022,Ekstraklasa,Miedz Legnica,Korona Kielce,2 - 2,1 - 0,X,4,Evet
2022-09-11,2022,Ekstraklasa,Pogon Szczecin,Lech Poznan,2 - 2,1 - 1,X,4,Evet
2022-09-11,2022,Ekstraklasa,Raków Częstochowa,Legia Warszawa,4 - 0,1 - 0,1,4,Yok
2022-09-12,2022,Ekstraklasa,Jagiellonia,Stal Mielec,4 - 0,3 - 0,1,4,Yok
2022-09-16,2022,Ekstraklasa,Piast Gliwice,Slask Wroclaw,1 - 1,1 - 1,X,2,Evet
2022-09-16,2022,Ekstraklasa,Legia Warszawa,Miedz Legnica,3 - 2,2 - 2,1,5,Evet
2022-09-17,2022,Ekstraklasa,Stal Mielec,Widzew Łódź,0 - 3,0 - 0,2,3,Yok
2022-09-17,2022,Ekstraklasa,Lechia Gdansk,Jagiellonia,2 - 2,0 - 1,X,4,Evet
2022-09-17,2022,Ekstraklasa,Raków Częstochowa,Radomiak Radom,3 - 0,1 - 0,1,3,Yok
2022-09-17,2022,Ekstraklasa,Cracovia Krakow,Pogon Szczecin,1 - 1,0 - 0,X,2,Evet
2022-09-18,2022,Ekstraklasa,Korona Kielce,Gornik Zabrze,1 - 2,1 - 1,2,3,Evet
2022-09-18,2022,Ekstraklasa,Zaglebie Lubin,Wisla Plock,2 - 1,1 - 1,1,3,Evet
2022-09-18,2022,Ekstraklasa,Warta Poznań,Lech Poznan,0 - 1,0 - 0,2,1,Yok
2022-09-30,2022,Ekstraklasa,Radomiak Radom,Cracovia Krakow,0 - 2,0 - 1,2,2,Yok
2022-09-30,2022,Ekstraklasa,Wisla Plock,Piast Gliwice,1 - 0,0 - 0,1,1,Yok
2022-10-01,2022,Ekstraklasa,Gornik Zabrze,Zaglebie Lubin,2 - 3,1 - 2,2,5,Evet
2022-10-01,2022,Ekstraklasa,Lech Poznan,Legia Warszawa,0 - 0,0 - 0,X,0,Yok
2022-10-01,2022,Ekstraklasa,Pogon Szczecin,Lechia Gdansk,2 - 1,2 - 1,1,3,Evet
2022-10-02,2022,Ekstraklasa,Miedz Legnica,Stal Mielec,0 - 2,0 - 2,2,2,Yok
2022-10-02,2022,Ekstraklasa,Jagiellonia,Korona Kielce,4 - 1,1 - 1,1,5,Evet
2022-10-02,2022,Ekstraklasa,Widzew Łódź,Raków Częstochowa,0 - 0,0 - 0,X,0,Yok
2022-10-03,2022,Ekstraklasa,Slask Wroclaw,Warta Poznań,0 - 2,0 - 1,2,2,Yok
2022-10-06,2022,Ekstraklasa,Piast Gliwice,Raków Częstochowa,0 - 1,0 - 0,2,1,Yok
2022-10-07,2022,Ekstraklasa,Stal Mielec,Pogon Szczecin,4 - 2,2 - 1,1,6,Evet
2022-10-07,2022,Ekstraklasa,Jagiellonia,Wisla Plock,1 - 1,0 - 1,X,2,Evet
